lcoh_eur_kg,lcoh_eur_mwh,cf_elec,capex_ann,opex_ann,stack_ann,elec_ann
5.158982622106952,171.94889079482468,0.36153841741575365,56.3679757492709,16.12362890768201,5.01607783666858,94.44120830120318
6.325803597593221,210.83903390778204,0.3437126194692355,79.39078400689965,21.795386921885864,5.836039210752099,103.81682376824443
4.382352265289803,146.0638010021091,0.3819928587916861,56.57447940544461,15.02913434509867,4.449863409767593,70.01032384179823
4.426326221065107,147.52945294810002,0.3726076587781548,51.385571431433455,19.36810491424345,5.610406971098082,71.165369631325
3.9552879144901234,131.8297461899558,0.3779729781318398,44.74405534978701,15.578032867087819,4.5206489357071415,66.98700903737384
5.035999745331556,167.84987151190074,0.35725091439876955,52.6612065371946,20.995528432578602,4.394682028659092,89.79845451346847
3.4924281578122236,116.40263049988141,0.3723234528770422,39.24622773669824,8.704006257514871,3.873849876238104,64.5785466294302
5.396489199555435,179.86498502118263,0.36575736232252576,64.45025418407602,23.907076068284905,7.376996478221977,84.13065829059973
4.6512143764797,155.0249751680684,0.35122572088201,56.26764862914671,22.73120398924661,5.918138512535417,70.10798403713964
5.369602970408577,178.96886700371786,0.36010030219118727,61.029346531787645,24.140017491470402,6.47363095318246,87.32587202727734
5.819736555183825,193.97181938427687,0.30761713242636846,55.500679124397564,23.30821967039313,6.630157673035741,108.53276291645044
4.920417107877278,163.99750220554967,0.3896284924283061,62.619208553779025,26.01923386993658,7.299159929887012,68.05989985194707
6.287516250155617,209.5629166176867,0.3167223760740213,74.76006207687436,33.935696858798785,7.2819999386860115,93.58515774332756
4.8127055596952655,160.40747630464318,0.34403347982615623,52.69403014034429,16.312934786699724,7.106821497326683,84.29368988027248
4.352299635277651,145.0621468438041,0.39344655353267793,51.62704069278938,15.613984806854647,4.748580440120968,73.07254090403909
4.08300955233538,136.0867083793382,0.372269175896106,46.473399855958185,8.77088222359442,4.65050670244586,76.19191959733973
3.9672112143279676,132.22714977355116,0.37358663872651426,45.77071364545194,8.900579594477852,6.783324101481768,70.7725324321396
3.9507337487288683,131.67795584513317,0.374789263142021,48.23592213453244,14.105443720115389,6.241400007671274,63.09518998281409
4.071316586568278,135.6969818303207,0.3567539867685391,48.07451343790648,12.914355612381147,3.576910072014616,71.13120270801846
4.376623745244296,145.87286942899237,0.3666449842107684,52.4418039700857,15.03972688247889,7.621553354679743,70.76978522174802
5.055729974153665,168.50748003854164,0.32101053364920057,66.30234538441354,17.22170180898612,4.25107156834422,80.73236127679777
4.9285066886439814,164.26712793250388,0.3139731529516697,54.82907992121853,11.58352155774725,8.30456294095565,89.54996351258245
4.271562005444213,142.37116164145561,0.371270417227765,46.33820930196638,23.136254231929627,7.014852975169346,65.88184513239028
4.349557053200472,144.97073658317174,0.34150074307513645,51.665776888184475,10.08747032816846,5.777789428476143,77.43969993834268
5.709544205032644,190.29910835373803,0.30244931822468263,69.9462174063263,25.224417528875716,4.509558131826592,90.61891528670942
5.525693976903271,184.171380250186,0.35254531252874344,63.18603570720204,16.09041140873916,6.924318339210202,97.97061479503459
4.885121771545904,162.82110864562497,0.36179577125851736,52.854671572989176,23.661347380157995,5.616809953361086,80.68827973911671
6.050308632458896,201.656786719855,0.3324566049221518,69.11606573658356,28.788957731256726,5.377466080815709,98.374297171199
