metric,lcoh_eur_mwh,lcoh_eur_kg
P5,132.81998670542018,4.4268901568916545
P25,147.7382082098995,4.92411447963595
P50,159.75167852544553,5.324523445253099
Mean,160.7139807372205,5.3565969779715585
P75,172.54337087620868,5.750870551304034
P95,192.12910630133584,6.403663113023522
Std,18.081275739249335,0.6026489203891803
CV_pct,11.250592920608186,11.250592920608188
