lcoh_eur_kg,lcoh_eur_mwh,cf_elec,cf_solar,cf_wind,capex_ann,opex_ann,stack_ann,elec_ann
5.00848523726841,166.9328129581561,0.36153841741575365,0.13772823028058775,0.3443229929404172,56.3679757492709,16.12362890768201,0.0,94.44120830120318
6.150704911402039,205.00299469702995,0.3437126194692355,0.17550032997912127,0.28278316264652603,79.39078400689965,21.795386921885864,0.0,103.81682376824443
4.248843012071453,141.61393759234153,0.3819928587916861,0.14868236107035646,0.3606414506518917,56.57447940544461,15.02913434509867,0.0,70.01032384179823
4.275047538856102,142.48733447007388,0.3726076587781548,0.1499377107537003,0.34687250095050615,51.385571431433455,19.36810491424345,0.5682884930719564,71.165369631325
3.819654883115772,127.30909725424867,0.3779729781318398,0.1477972860203013,0.35616668482215175,44.74405534978701,15.578032867087819,0.0,66.98700903737384
4.904146099107161,163.45518948324167,0.35725091439876955,0.17634189025464772,0.299992662277045,52.6612065371946,20.995528432578602,0.0,89.79845451346847
3.376585146875583,112.54158294536319,0.3723234528770422,0.19140680408241834,0.3050244664203046,39.24622773669824,8.704006257514871,0.012802321719880792,64.5785466294302
5.194841765981651,173.1440760601684,0.36575736232252576,0.17072805572318647,0.31694842737351453,64.45025418407602,23.907076068284905,0.6560875172077585,84.13065829059973
4.4736524649124805,149.10683665553296,0.35122572088201,0.17515090568334865,0.29315005549266465,56.26764862914671,22.73120398924661,0.0,70.10798403713964
5.183823247217722,172.77682882976666,0.36010030219118727,0.16355485782463844,0.31657887843027793,61.029346531787645,24.140017491470402,0.2815927792312788,87.32587202727734
5.620811932530487,187.34166171124113,0.30761713242636846,0.15938857524523026,0.250767601323261,55.500679124397564,23.30821967039313,0.0,108.53276291645044
4.708056964587596,156.91953862970456,0.3896284924283061,0.16878338610237814,0.35072127046869667,62.619208553779025,26.01923386993658,0.2211963540418973,68.05989985194707
6.069034403810402,202.2809166790007,0.3167223760740213,0.1370758766473638,0.28522062478466464,74.76006207687436,33.935696858798785,0.0,93.58515774332756
4.599479592178713,153.3006548073165,0.34403347982615623,0.13927150127243454,0.3194398051624404,52.69403014034429,16.312934786699724,0.0,84.29368988027248
4.211907533728801,140.3828780991809,0.39344655353267793,0.16691612492492214,0.35767927978531505,51.62704069278938,15.613984806854647,0.0693116954978082,73.07254090403909
3.9434803983466047,131.43620167689232,0.372269175896106,0.1517583673167533,0.34460053387805467,46.473399855958185,8.77088222359442,0.0,76.19191959733973
3.8081178064740846,126.92456648978123,0.37358663872651426,0.1577024852688596,0.3404130330331594,45.77071364545194,8.900579594477852,1.4807408177118433,70.7725324321396
3.788426581323105,126.26825795549908,0.374789263142021,0.17237707424637436,0.32734194327632027,48.23592213453244,14.105443720115389,0.8317021180371559,63.09518998281409
3.9639985526044437,132.1200717583061,0.3567539867685391,0.16152991655096482,0.3141420658070873,48.07451343790648,12.914355612381147,0.0,71.13120270801846
4.147954277657145,138.25131607431263,0.3666449842107684,0.17389284698249735,0.3149671319651938,52.4418039700857,15.03972688247889,0.0,70.76978522174802
4.928185072613185,164.25640847019744,0.32101053364920057,0.15491167942357192,0.2731023654420288,66.30234538441354,17.22170180898612,0.0,80.73236127679777
4.679344884234871,155.96256499154822,0.3139731529516697,0.15005985317803328,0.26857101742419304,54.82907992121853,11.58352155774725,0.0,89.54996351258245
4.073140245646381,135.75776438739388,0.371270417227765,0.14813206200180817,0.3468951609685451,46.33820930196638,23.136254231929627,0.4014557211075779,65.88184513239028
4.176206035244393,139.19294715469562,0.34150074307513645,0.14357767769180266,0.31175664640837925,51.665776888184475,10.08747032816846,0.0,77.43969993834268
5.574243931050448,185.78955022191144,0.30244931822468263,0.13717740420929053,0.26608835342361964,69.9462174063263,25.224417528875716,0.0,90.61891528670942
