fraction,label,budget_MtCO2,co2_realised_MtCO2,abated_MtCO2,npv_eur,extra_cost_eur,shadow_price_eur_tco2,feasible,elapsed_s
1.0,Unconstrained,,3.7070000000000003,0.0,766983622.3194836,0.0,,True,5.869858503341675
0.9,90% of baseline,3.3363000000000005,0.668,3.039,1836387978.821804,1069404356.5023204,594.0045967747416,True,5.440621614456177
0.75,75% of baseline,2.7802500000000006,0.5569999999999999,3.1500000000000004,2265395867.9454675,1498412245.6259837,1053.4788959230457,True,5.454909324645996
0.5,50% of baseline,1.8535000000000001,0.37100000000000005,3.3360000000000003,5289989524.906357,4523005902.586873,8118.636226635186,True,5.659441947937012
0.25,25% of baseline,0.9267500000000001,0.185,3.5220000000000002,32391868223.36989,31624884601.050404,78732.49758962945,True,5.511884927749634
0.1,10% of baseline,0.3707000000000001,,,,,,False,4.388843536376953
0.05,5% of baseline,0.18535000000000004,,,,,,False,4.362576723098755
0.0,0% of baseline,,,,,,,False,4.344518423080444
