location,year,solar_cf_mean,wind_cf_mean,dunk_day_cf,max_event_h
Koln,2019,0.09643915525114155,0.25787132420091324,0.0230875,72
Koln,2020,0.136911301369863,0.29260502283105017,0.019666666666666666,59
Koln,2021,0.13032100456621004,0.24807157534246574,0.008833333333333334,64
Rotterdam,2019,0.13213458904109587,0.36213207762557076,0.03725,45
Rotterdam,2020,0.1335917808219178,0.39152465753424653,0.010083333333333333,67
Rotterdam,2021,0.1283236301369863,0.34434178082191785,0.024958333333333332,62
Tarragona,2019,0.19683618721461188,0.32154269406392694,0.030583333333333334,63
Tarragona,2020,0.18754349315068491,0.2881389269406393,0.020375,62
Tarragona,2021,0.18360148401826484,0.29142716894977166,0.021458333333333333,55
