location,year,dunk_day,wind_mean,max_event_h,cavern_gwh,storage_dec,cavern
Koln,2019,0.0230875,0.25787132420091324,72,1.195837405347564e-13,PEM oversizing,0
Koln,2020,0.019666666666666666,0.29260502283105017,59,3.604141944731998e-13,PEM oversizing,0
Koln,2021,0.008833333333333334,0.24807157534246574,64,-0.0,PEM oversizing,0
Rotterdam,2019,0.03725,0.36213207762557076,45,16.72226287972415,Salt cavern,1
Rotterdam,2020,0.010083333333333333,0.39152465753424653,67,150.84744569152267,Salt cavern,1
Rotterdam,2021,0.024958333333333332,0.34434178082191785,62,-0.0,PEM oversizing,0
Tarragona,2019,0.030583333333333334,0.32154269406392694,63,135.27512552107552,Salt cavern,1
Tarragona,2020,0.020375,0.2881389269406393,62,-3.2882559562214415e-14,PEM oversizing,0
Tarragona,2021,0.021458333333333333,0.29142716894977166,55,1.3966936995806172,Salt cavern,1
