scenario,option_value_M,option_std_M,npv_static_M,option_premium_M,pct_positive,modal_exercise_year
STEPS,-1.0668414623062332,0.27461941626216174,-224.24130152947964,-1.0668414623062332,7.5600000000000005,2050
APS,0.651648422553989,0.3101609938941199,-216.0954468878802,0.651648422553989,11.799999999999999,2050
NZE,3.2932420199661996,0.41204940532132484,-199.01129394856025,3.2932420199661996,14.26,2050
