fraction,label,co2_realised_MtCO2,abated_MtCO2,npv_eur,shadow_price_eur_tco2,feasible,elapsed_s
1.0,Unconstrained,2.962,0.0,766983622.3194836,,True,7.598644495010376
0.9,90% of baseline,0.5329999999999999,2.4290000000000003,825481040.1057848,13.333333333333334,True,9.270806074142456
0.75,75% of baseline,0.44399999999999995,2.5180000000000002,831405040.1057853,13.333333333333334,True,8.60912823677063
0.5,50% of baseline,0.297,2.665,841963751.941677,24.556530141630454,True,10.456037282943726
0.25,25% of baseline,0.148,2.814,995190371.4305121,672.5358238788805,True,9.465803146362305
0.1,10% of baseline,0.06,2.902,2667331189.998925,15689.21732566801,True,9.325981140136719
0.05,5% of baseline,0.030000000000000006,2.9320000000000004,22698994728.005478,542250.8092116571,True,10.89215898513794
0.0,0% of baseline,,,,,False,
