year,solar_mean,wind_mean,pct_below_10,pct_below_5,max_event_10,max_event_5,n_events_10
2019,0.16065502283105024,0.14686221461187213,53.76712328767124,35.799086757990864,125,83,327
2020,0.16012214611872144,0.12704292237442924,61.906392694063925,43.926940639269404,338,136,308
2021,0.1609832191780822,0.12702511415525114,57.24885844748858,40.23972602739726,152,132,314
