pem_capex,pem_opex_pct,pem_eff,stack_lifetime,stack_replace_pct,solar_capex,wind_capex,solar_cf,wind_cf,wacc,lifetime,lcoh_eur_mwh,lcoh_eur_kg
1357.5718098581572,3.6018221524676832,68.05619032885096,76664.34454002365,23.53551046392041,1010.6961118656595,1736.530066634184,0.14778029612544594,0.33035658601750606,0.08153574562642664,28.251761391685207,178.93341612682167,5.963850759506966
1218.0424033161974,3.5782631503413485,71.49839053071643,78352.46841261006,20.49628255068394,777.8028039096306,1671.5349489608689,0.14791651739216277,0.2803366458696812,0.06890136353731831,28.381702640253167,142.75445220306102,4.758005891928024
1408.259183210667,2.5315759367043476,61.85528810044471,96501.35831518972,20.181044414876812,856.740994888089,1766.6677942173233,0.15991863547330942,0.3305979708523557,0.08567935888640693,25.183397769230503,187.94522057931812,6.264214201908672
1319.4927586593076,1.9386807775971553,64.53577253745824,68207.02578348346,16.52835629480881,670.666429676136,1854.5367498405847,0.14776749113369372,0.3301793719388125,0.0752933420586816,23.541644282778158,160.07246618024476,5.335215297787558
1073.7086053261578,2.7629123047492703,67.08720496082056,69450.97358297376,37.15107592692557,820.6840030052444,1579.870481642739,0.1478399669404157,0.3168778256321234,0.09423456216580944,26.389758405437668,167.05695503687778,5.5680083113791365
1520.3872587179449,2.4082761697355557,65.9056188565909,78662.69736804569,28.62702054513725,781.3998108977601,1678.73828012147,0.1551569384691077,0.36303396651896835,0.064490405291406,25.88644864158556,146.9531741193806,4.897949293398955
1350.7939056072098,2.9414886457695024,67.336672045931,71635.93243998084,23.961544498659368,803.7130076930188,1545.538528081509,0.1727815948022822,0.2985073682205628,0.08133345849686321,27.503245895363662,157.66613070012147,5.255012136235048
1364.1541167881194,4.619766958390292,67.01846007627432,84121.21316073042,27.436341055250594,691.7875416619738,1705.4749843778836,0.1497797669011973,0.3251788092844382,0.08460643624392546,27.280525021819606,171.17881928566112,5.705390046791085
1094.286053760494,2.474999844744813,68.43340050944468,76986.52483154109,28.048126976254878,998.268885980536,1566.8404421537011,0.1487665766833332,0.2804020468721551,0.07856526376485462,23.73063706186992,165.98464793578256,5.532268315699633
1221.9792913779027,2.7938656046787034,62.440460057411855,88907.92948314102,21.76256163763039,634.5331362472172,1673.2087804346825,0.1582776287856293,0.3097934568419279,0.09472917938633513,25.439287589392507,175.0485846959002,5.834369327914352
1195.468284993794,3.612844714618081,66.08372828732428,85818.61922895107,23.498061272336727,942.0101294534409,1433.7500706618898,0.15239925605562393,0.29780144791478624,0.07548325938662817,24.684117102256675,163.04661630258283,5.434343721365086
1462.0104971406754,3.146430330425493,69.10228148043811,79407.35519536134,26.970385950944994,1069.6253446630562,1643.9132918622754,0.19181789041702046,0.3338613581421416,0.06433992956971346,28.11939941294814,145.25810254420566,4.841452557798374
