location,firm,wind_mean,wind_std,solar_mean,dunk_mean,dunk_std,max_event_mean,max_event_std,modal_decision,consistent
Koln,Shell/BP,0.26618264079147635,0.019106987795150656,0.1212238203957382,0.01719583333333333,0.00607585823079676,65.0,5.354126134736337,Uncertain,True
Rotterdam,Shell,0.36599950532724507,0.019455482714536797,0.13135,0.024097222222222225,0.011107447312612791,58.0,9.41629792788369,Salt cavern,True
Tarragona,Repsol,0.30036959665144597,0.015031703704869072,0.18932705479452053,0.02413888888888889,0.004578322176367374,60.0,3.559026084010437,Uncertain,True
Antwerp,TotalEnergies,0.3367353500761035,0.01909326358067877,0.13176910197869104,0.025458333333333333,0.006651632353262088,54.333333333333336,16.679994670929073,Salt cavern,False
Normandy,TotalEnergies,0.49646917808219176,0.0188689311311754,0.15028687214611872,0.03777777777777777,0.014731011527294516,36.333333333333336,4.4969125210773475,Salt cavern,True
Sannazzaro,Eni,0.13364341704718416,0.009347104224493552,0.16058679604261797,0.00538888888888889,0.0007864104259384489,205.0,94.68896451012652,PEM oversize,True
