firm,co2_v2,co2_v4,co2_v5,npv_v2,npv_v4,npv_v5
Shell,9.954,0.262,0.053,2647.3410450305887,2562.7107997671974,3257.6195120376406
TotalEnergies,15.092,0.4059999999999999,0.078,3967.2003323523945,3815.4874071108397,4871.294162402283
BP,11.993,0.285,0.066,3208.795950744994,3141.096038748157,3953.567452455585
Eni,6.241,0.154,0.031,1688.1737836689415,1645.088798837126,2078.392455839019
Repsol,12.251,0.31,0.059,3278.0768942181257,3193.21999650249,4038.8301245439025
