firm,sc12_target_2030_pct,sc12_target_2040_pct,implied_budget_fraction,implied_budget_Mt,co2_baseline_Mt,closest_sweep_run,shadow_price_eur_tco2,npv_premium_pct,co2_realised_Mt
Shell plc,-50.0,-70.0,0.4804701627486437,4.782599999999999,9.953999999999999,50%,15.646094427761899,10.636859742802617,0.994
TotalEnergies SE,-40.0,-60.0,0.5536012456930824,8.35495,15.092,50%,13.333333333333334,10.749298684029052,1.508
BP plc,-47.5,-40.0,0.6108042191278245,7.325374999999999,11.993,50%,13.333333333333334,10.445284896155504,1.2000000000000002
Eni S.p.A.,-35.0,-80.0,0.5022752763980132,3.1347,6.241,50%,13.417625462018446,10.644988099773677,0.6239999999999999
Repsol S.A.,-55.00000000000001,-75.0,0.44723287894865726,5.47905,12.251,50%,14.740012033445645,10.525310530273524,1.2249999999999999
