firm,refinery,lat,lon,h2_demand_kt_y_2025,existing_smr_mw,existing_smr_h2_kt,hh1_pem_mw,hh1_capex_meur,hh1_capex_eur_kw,hh1_h2_kt_y,hh1_renewable_mw,hh1_wind_cf,hh1_operational,cavern_access,cavern_location,cavern_operator,grid_emission_2023,elec_price_2023,wacc_bloomberg,wacc_reported,lat_puertollano,lon_puertollano,lat_tarragona,lon_tarragona,puertollano_pem_mw_2021,puertollano_pem_mw_2025,puertollano_solar_mw,puertollano_solar_cf,puertollano_capex_meur_2021,puertollano_capex_eur_kw_2021,puertollano_h2_kt_y,expansion_pem_mw,expansion_capex_eur_kw,expansion_operational,cavern_note
Shell,"Pernis, Rotterdam",51.88,4.39,185,450,135.0,200.0,300.0,1500.0,15.0,760.0,0.45,2025.0,True,"Zuidwending, NL (145 km)",EBN/Gasunie,0.38,95.3,0.082,0.08,,,,,,,,,,,,,,,
Repsol,Puertollano + Tarragona,,,223,410,,,,,,,,,False,,,0.18,88.8,0.075,0.075,38.69,-4.11,41.07,1.14,2.5,100.0,150.0,0.245,60.0,24000.0,1.1,100.0,1200.0,2025.0,No salt geology in Castilla-La Mancha
