solar_cf,wind_cf,price
0.0,0.223,28.7
0.0,0.251,28.7
0.0,0.268,28.7
0.0,0.27,28.7
0.0,0.256,28.7
0.0,0.227,28.7
0.0,0.205,28.7
0.0,0.196,28.7
0.0,0.192,28.7
0.022,0.177,28.7
0.047,0.168,28.7
0.058,0.152,28.7
0.052,0.131,28.7
0.037,0.121,28.7
0.016,0.123,28.7
0.0,0.156,28.7
0.0,0.2,28.7
0.0,0.216,28.7
0.0,0.21,28.7
0.0,0.193,28.7
0.0,0.175,28.7
0.0,0.152,28.7
0.0,0.126,28.7
0.0,0.112,28.7
0.0,0.117,28.7
0.0,0.135,28.7
0.0,0.159,28.7
0.0,0.186,28.7
0.0,0.222,28.7
0.0,0.264,28.7
0.0,0.313,28.7
0.0,0.364,28.7
0.002,0.388,28.7
0.038,0.381,28.7
0.077,0.391,28.7
0.102,0.437,28.7
0.078,0.484,28.7
0.062,0.538,28.7
0.038,0.574,28.7
0.0,0.672,28.7
0.0,0.749,28.7
0.0,0.802,28.7
0.0,0.826,28.7
0.0,0.86,28.7
0.0,0.863,28.7
0.0,0.884,28.7
0.0,0.881,28.7
0.0,0.871,28.7
0.0,0.864,28.7
0.0,0.897,28.7
0.0,0.917,28.7
0.0,0.931,28.7
0.0,0.919,28.7
0.0,0.92,28.7
0.0,0.88,28.7
0.0,0.866,28.7
0.048,0.862,28.7
0.121,0.857,28.7
0.071,0.865,28.7
0.04,0.865,28.7
0.032,0.785,28.7
0.017,0.711,28.7
0.01,0.769,28.7
0.001,0.788,28.7
0.0,0.755,28.7
0.0,0.72,28.7
0.0,0.643,28.7
0.0,0.567,28.7
0.0,0.453,28.7
0.0,0.351,28.7
0.0,0.299,28.7
0.0,0.311,28.7
0.0,0.339,28.7
0.0,0.398,28.7
0.0,0.414,28.7
0.0,0.391,28.7
0.0,0.454,28.7
0.0,0.466,28.7
0.0,0.515,28.7
0.0,0.547,28.7
0.044,0.587,28.7
0.114,0.561,28.7
0.111,0.486,28.7
0.087,0.476,28.7
0.105,0.524,28.7
0.081,0.523,28.7
0.044,0.516,28.7
0.004,0.518,28.7
0.0,0.502,28.7
0.0,0.442,28.7
0.0,0.382,28.7
0.0,0.322,28.7
0.0,0.279,28.7
0.0,0.294,28.7
0.0,0.328,28.7
0.0,0.325,28.7
0.0,0.29,28.7
0.0,0.259,28.7
0.0,0.23,28.7
0.0,0.199,28.7
0.0,0.174,28.7
0.0,0.167,28.7
0.0,0.17,28.7
0.0,0.175,28.7
0.001,0.171,28.7
0.035,0.158,28.7
0.071,0.132,28.7
0.098,0.12,28.7
0.098,0.122,28.7
0.086,0.119,28.7
0.038,0.107,28.7
0.003,0.088,28.7
0.0,0.068,28.7
0.0,0.071,28.7
0.0,0.093,28.7
0.0,0.14,28.7
0.0,0.208,28.7
0.0,0.289,28.7
0.0,0.358,28.7
0.0,0.401,28.7
0.0,0.413,28.7
0.0,0.395,28.7
0.0,0.367,28.7
0.0,0.335,28.7
0.0,0.332,28.7
0.0,0.358,28.7
0.0,0.415,28.7
0.0,0.483,28.7
0.09,0.544,28.7
0.353,0.59,28.7
0.515,0.623,28.7
0.584,0.605,28.7
0.58,0.618,28.7
0.5,0.715,28.7
0.259,0.739,28.7
0.005,0.752,28.7
0.0,0.776,28.7
0.0,0.799,28.7
0.0,0.87,28.7
0.0,0.823,28.7
0.0,0.773,28.7
0.0,0.756,28.7
0.0,0.722,28.7
0.0,0.62,28.7
0.0,0.527,28.7
0.0,0.459,28.7
0.0,0.395,28.7
0.0,0.358,28.7
0.0,0.351,28.7
0.0,0.37,28.7
0.0,0.386,28.7
0.0,0.415,28.7
0.009,0.471,28.7
0.144,0.514,28.7
0.304,0.484,28.7
0.207,0.488,28.7
0.19,0.519,28.7
0.252,0.511,28.7
0.158,0.591,28.7
0.021,0.698,28.7
0.0,0.763,28.7
0.0,0.773,28.7
0.0,0.793,28.7
0.0,0.821,28.7
0.0,0.834,28.7
0.0,0.815,28.7
0.0,0.868,28.7
0.0,0.862,28.7
0.0,0.794,28.7
0.0,0.775,28.7
0.0,0.777,28.7
0.0,0.797,28.7
0.0,0.796,28.7
0.0,0.75,28.7
0.0,0.696,28.7
0.0,0.652,28.7
0.001,0.603,28.7
0.017,0.541,28.7
0.033,0.476,28.7
0.063,0.421,28.7
0.063,0.367,28.7
0.038,0.398,28.7
0.009,0.408,28.7
0.0,0.42,28.7
0.0,0.432,28.7
0.0,0.468,28.7
