solar_cf,wind_cf,price
0.0,0.107,97.3
0.0,0.117,97.3
0.0,0.119,97.3
0.0,0.122,97.3
0.0,0.13,97.3
0.0,0.143,97.3
0.0,0.16,97.3
0.0,0.186,97.3
0.007,0.213,97.3
0.038,0.214,97.3
0.063,0.19,97.3
0.07,0.176,97.3
0.075,0.168,97.3
0.056,0.164,97.3
0.02,0.174,97.3
0.0,0.192,97.3
0.0,0.206,97.3
0.0,0.214,97.3
0.0,0.22,97.3
0.0,0.223,97.3
0.0,0.22,97.3
0.0,0.217,97.3
0.0,0.209,97.3
0.0,0.186,97.3
0.0,0.165,97.3
0.0,0.139,97.3
0.0,0.116,97.3
0.0,0.096,97.3
0.0,0.085,97.3
0.0,0.079,97.3
0.0,0.071,97.3
0.0,0.056,97.3
0.0,0.042,97.3
0.02,0.031,97.3
0.04,0.019,97.3
0.053,0.017,97.3
0.05,0.015,97.3
0.029,0.013,97.3
0.008,0.012,97.3
0.0,0.013,97.3
0.0,0.012,97.3
0.0,0.015,97.3
0.0,0.019,97.3
0.0,0.025,97.3
0.0,0.034,97.3
0.0,0.048,97.3
0.0,0.063,97.3
0.0,0.07,97.3
0.0,0.076,97.3
0.0,0.088,97.3
0.0,0.101,97.3
0.0,0.106,97.3
0.0,0.126,97.3
0.0,0.155,97.3
0.0,0.189,97.3
0.0,0.227,97.3
0.025,0.253,97.3
0.121,0.238,97.3
0.198,0.233,97.3
0.243,0.25,97.3
0.246,0.31,97.3
0.204,0.355,97.3
0.099,0.425,97.3
0.0,0.511,97.3
0.0,0.538,97.3
0.0,0.541,97.3
0.0,0.556,97.3
0.0,0.528,97.3
0.0,0.507,97.3
0.0,0.519,97.3
0.0,0.534,97.3
0.0,0.55,97.3
0.0,0.562,97.3
0.0,0.581,97.3
0.0,0.599,97.3
0.0,0.618,97.3
0.0,0.635,97.3
0.0,0.648,97.3
0.0,0.659,97.3
0.0,0.663,97.3
0.002,0.663,97.3
0.034,0.669,97.3
0.075,0.724,97.3
0.103,0.735,97.3
0.099,0.707,97.3
0.068,0.663,97.3
0.022,0.649,97.3
0.0,0.661,97.3
0.0,0.661,97.3
0.0,0.644,97.3
0.0,0.624,97.3
0.0,0.586,97.3
0.0,0.566,97.3
0.0,0.556,97.3
0.0,0.55,97.3
0.0,0.528,97.3
0.0,0.501,97.3
0.0,0.523,97.3
0.0,0.462,97.3
0.0,0.449,97.3
0.0,0.485,97.3
0.0,0.488,97.3
0.0,0.488,97.3
0.0,0.474,97.3
0.024,0.447,97.3
0.095,0.401,97.3
0.155,0.388,97.3
0.153,0.352,97.3
0.123,0.333,97.3
0.076,0.325,97.3
0.029,0.305,97.3
0.0,0.323,97.3
0.0,0.389,97.3
0.0,0.422,97.3
0.0,0.419,97.3
0.0,0.387,97.3
0.0,0.398,97.3
0.0,0.41,97.3
0.0,0.41,97.3
0.0,0.401,97.3
0.0,0.397,97.3
0.0,0.406,97.3
0.0,0.391,97.3
0.0,0.384,97.3
0.0,0.356,97.3
0.0,0.359,97.3
0.0,0.343,97.3
0.0,0.32,97.3
0.021,0.293,97.3
0.076,0.202,97.3
0.091,0.138,97.3
0.076,0.105,97.3
0.049,0.093,97.3
0.024,0.099,97.3
0.005,0.115,97.3
0.0,0.137,97.3
0.0,0.156,97.3
0.0,0.167,97.3
0.0,0.168,97.3
0.0,0.161,97.3
0.0,0.152,97.3
0.0,0.139,97.3
0.0,0.126,97.3
0.0,0.12,97.3
0.0,0.125,97.3
0.0,0.144,97.3
0.0,0.17,97.3
0.0,0.206,97.3
0.0,0.241,97.3
0.0,0.278,97.3
0.0,0.301,97.3
0.0,0.309,97.3
0.0,0.302,97.3
0.012,0.285,97.3
0.027,0.272,97.3
0.037,0.289,97.3
0.032,0.325,97.3
0.02,0.359,97.3
0.003,0.386,97.3
0.0,0.401,97.3
0.0,0.388,97.3
0.0,0.376,97.3
0.0,0.365,97.3
0.0,0.361,97.3
0.0,0.358,97.3
0.0,0.362,97.3
0.0,0.354,97.3
0.0,0.361,97.3
0.0,0.363,97.3
0.0,0.352,97.3
0.0,0.344,97.3
0.0,0.334,97.3
0.0,0.313,97.3
0.0,0.281,97.3
0.0,0.242,97.3
0.0,0.202,97.3
0.002,0.163,97.3
0.036,0.121,97.3
0.081,0.084,97.3
0.116,0.078,97.3
0.128,0.082,97.3
0.103,0.083,97.3
0.053,0.086,97.3
0.0,0.103,97.3
0.0,0.117,97.3
0.0,0.112,97.3
0.0,0.093,97.3
0.0,0.065,97.3
0.0,0.042,97.3
0.0,0.029,97.3
0.0,0.03,97.3
0.0,0.044,97.3
0.0,0.065,97.3
0.0,0.076,97.3
0.0,0.074,97.3
0.0,0.071,97.3
0.0,0.076,97.3
0.0,0.089,97.3
0.0,0.102,97.3
0.0,0.111,97.3
0.064,0.11,97.3
0.18,0.097,97.3
0.264,0.086,97.3
0.297,0.089,97.3
0.252,0.112,97.3
0.146,0.153,97.3
0.055,0.201,97.3
0.0,0.24,97.3
0.0,0.248,97.3
0.0,0.239,97.3
0.0,0.224,97.3
0.0,0.206,97.3
0.0,0.179,97.3
0.0,0.141,97.3
0.0,0.124,97.3
0.0,0.124,97.3
0.0,0.132,97.3
0.0,0.147,97.3
0.0,0.158,97.3
0.0,0.165,97.3
0.0,0.173,97.3
0.0,0.177,97.3
0.0,0.179,97.3
0.0,0.187,97.3
0.029,0.192,97.3
0.092,0.182,97.3
0.194,0.166,97.3
0.266,0.174,97.3
0.268,0.21,97.3
0.16,0.226,97.3
0.049,0.249,97.3
0.0,0.308,97.3
0.0,0.344,97.3
0.0,0.332,97.3
0.0,0.321,97.3
0.0,0.302,97.3
0.0,0.302,97.3
0.0,0.308,97.3
0.0,0.329,97.3
0.0,0.349,97.3
0.0,0.372,97.3
0.0,0.399,97.3
0.0,0.434,97.3
0.0,0.46,97.3
0.0,0.454,97.3
