solar_cf,wind_cf,price
0.0,0.144,32.1
0.0,0.142,32.1
0.0,0.153,32.1
0.0,0.155,32.1
0.0,0.146,32.1
0.0,0.131,32.1
0.0,0.112,32.1
0.0,0.095,32.1
0.019,0.093,32.1
0.088,0.122,32.1
0.212,0.155,32.1
0.37,0.167,32.1
0.428,0.162,32.1
0.344,0.15,32.1
0.172,0.142,32.1
0.007,0.165,32.1
0.0,0.212,32.1
0.0,0.282,32.1
0.0,0.348,32.1
0.0,0.37,32.1
0.0,0.334,32.1
0.0,0.272,32.1
0.0,0.225,32.1
0.0,0.203,32.1
0.0,0.194,32.1
0.0,0.197,32.1
0.0,0.202,32.1
0.0,0.212,32.1
0.0,0.222,32.1
0.0,0.242,32.1
0.0,0.264,32.1
0.0,0.3,32.1
0.0,0.328,32.1
0.02,0.334,32.1
0.055,0.36,32.1
0.079,0.376,32.1
0.078,0.388,32.1
0.05,0.402,32.1
0.016,0.432,32.1
0.0,0.457,32.1
0.0,0.495,32.1
0.0,0.532,32.1
0.0,0.588,32.1
0.0,0.621,32.1
0.0,0.651,32.1
0.0,0.654,32.1
0.0,0.694,32.1
0.0,0.687,32.1
0.0,0.618,32.1
0.0,0.618,32.1
0.0,0.673,32.1
0.0,0.708,32.1
0.0,0.752,32.1
0.0,0.744,32.1
0.0,0.762,32.1
0.0,0.808,32.1
0.0,0.792,32.1
0.014,0.724,32.1
0.059,0.735,32.1
0.112,0.727,32.1
0.105,0.71,32.1
0.057,0.69,32.1
0.013,0.638,32.1
0.0,0.639,32.1
0.0,0.579,32.1
0.0,0.481,32.1
0.0,0.469,32.1
0.0,0.485,32.1
0.0,0.42,32.1
0.0,0.388,32.1
0.0,0.398,32.1
0.0,0.447,32.1
0.0,0.491,32.1
0.0,0.504,32.1
0.0,0.528,32.1
0.0,0.525,32.1
0.0,0.504,32.1
0.0,0.503,32.1
0.0,0.51,32.1
0.0,0.495,32.1
0.009,0.486,32.1
0.092,0.477,32.1
0.265,0.435,32.1
0.345,0.552,32.1
0.358,0.623,32.1
0.26,0.581,32.1
0.076,0.509,32.1
0.0,0.476,32.1
0.0,0.45,32.1
0.0,0.41,32.1
0.0,0.374,32.1
0.0,0.345,32.1
0.0,0.319,32.1
0.0,0.291,32.1
0.0,0.249,32.1
0.0,0.201,32.1
0.0,0.179,32.1
0.0,0.179,32.1
0.0,0.194,32.1
0.0,0.2,32.1
0.0,0.219,32.1
0.0,0.249,32.1
0.0,0.249,32.1
0.0,0.245,32.1
0.002,0.243,32.1
0.023,0.232,32.1
0.048,0.22,32.1
0.082,0.194,32.1
0.13,0.202,32.1
0.128,0.208,32.1
0.045,0.249,32.1
0.0,0.314,32.1
0.0,0.361,32.1
0.0,0.381,32.1
0.0,0.381,32.1
0.0,0.371,32.1
0.0,0.355,32.1
0.0,0.348,32.1
0.0,0.343,32.1
0.0,0.337,32.1
0.0,0.332,32.1
0.0,0.332,32.1
0.0,0.341,32.1
0.0,0.334,32.1
0.0,0.33,32.1
0.0,0.312,32.1
0.0,0.311,32.1
0.0,0.313,32.1
0.044,0.31,32.1
0.229,0.257,32.1
0.466,0.288,32.1
0.518,0.358,32.1
0.495,0.404,32.1
0.4,0.401,32.1
0.22,0.414,32.1
0.021,0.527,32.1
0.0,0.591,32.1
0.0,0.599,32.1
0.0,0.599,32.1
0.0,0.568,32.1
0.0,0.539,32.1
0.0,0.556,32.1
0.0,0.591,32.1
0.0,0.58,32.1
0.0,0.537,32.1
0.0,0.476,32.1
0.0,0.432,32.1
0.0,0.359,32.1
0.0,0.311,32.1
0.0,0.265,32.1
0.0,0.229,32.1
0.0,0.236,32.1
0.0,0.263,32.1
0.012,0.259,32.1
0.028,0.322,32.1
0.048,0.395,32.1
0.055,0.441,32.1
0.096,0.489,32.1
0.068,0.494,32.1
0.0,0.522,32.1
0.0,0.575,32.1
0.0,0.623,32.1
0.0,0.651,32.1
0.0,0.666,32.1
0.0,0.672,32.1
0.0,0.68,32.1
0.0,0.705,32.1
0.0,0.714,32.1
0.0,0.692,32.1
0.0,0.682,32.1
0.0,0.693,32.1
0.0,0.739,32.1
0.0,0.659,32.1
0.0,0.61,32.1
0.0,0.586,32.1
0.0,0.557,32.1
0.001,0.51,32.1
0.03,0.468,32.1
0.064,0.4,32.1
0.076,0.337,32.1
0.061,0.327,32.1
0.035,0.297,32.1
0.008,0.302,32.1
0.0,0.348,32.1
0.0,0.332,32.1
0.0,0.29,32.1
0.0,0.272,32.1
0.0,0.264,32.1
0.0,0.251,32.1
0.0,0.249,32.1
0.0,0.274,32.1
0.0,0.363,32.1
0.0,0.452,32.1
0.0,0.532,32.1
0.0,0.557,32.1
0.0,0.57,32.1
0.0,0.601,32.1
0.0,0.684,32.1
0.0,0.785,32.1
0.0,0.813,32.1
0.0,0.849,32.1
0.038,0.871,32.1
0.055,0.87,32.1
0.1,0.852,32.1
0.074,0.82,32.1
0.045,0.785,32.1
0.011,0.763,32.1
0.0,0.752,32.1
0.0,0.743,32.1
0.0,0.734,32.1
0.0,0.72,32.1
0.0,0.683,32.1
0.0,0.625,32.1
0.0,0.572,32.1
0.0,0.471,32.1
0.0,0.501,32.1
0.0,0.523,32.1
0.0,0.525,32.1
0.0,0.499,32.1
0.0,0.457,32.1
0.0,0.398,32.1
0.0,0.35,32.1
0.0,0.311,32.1
0.0,0.33,32.1
0.029,0.332,32.1
0.088,0.328,32.1
0.13,0.378,32.1
0.22,0.476,32.1
0.242,0.505,32.1
0.191,0.471,32.1
0.05,0.386,32.1
0.001,0.343,32.1
0.0,0.296,32.1
0.0,0.2,32.1
0.0,0.152,32.1
0.0,0.156,32.1
0.0,0.197,32.1
0.0,0.23,32.1
0.0,0.272,32.1
0.0,0.323,32.1
0.0,0.343,32.1
0.0,0.336,32.1
0.0,0.306,32.1
0.0,0.281,32.1
0.0,0.294,32.1
0.0,0.325,32.1
0.0,0.352,32.1
0.0,0.382,32.1
0.013,0.445,32.1
0.073,0.434,32.1
0.126,0.494,32.1
0.175,0.59,32.1
0.154,0.613,32.1
0.089,0.621,32.1
0.044,0.647,32.1
0.002,0.695,32.1
0.0,0.724,32.1
0.0,0.729,32.1
0.0,0.739,32.1
0.0,0.749,32.1
0.0,0.752,32.1
0.0,0.748,32.1
0.0,0.738,32.1
0.0,0.726,32.1
0.0,0.718,32.1
0.0,0.704,32.1
0.0,0.681,32.1
0.0,0.696,32.1
0.0,0.72,32.1
0.0,0.737,32.1
0.0,0.774,32.1
0.0,0.813,32.1
0.006,0.815,32.1
0.019,0.804,32.1
0.052,0.777,32.1
0.081,0.758,32.1
0.109,0.739,32.1
0.111,0.705,32.1
0.032,0.695,32.1
0.0,0.718,32.1
0.0,0.736,32.1
0.0,0.672,32.1
0.0,0.619,32.1
0.0,0.535,32.1
0.0,0.422,32.1
0.0,0.336,32.1
0.0,0.261,32.1
0.0,0.251,32.1
0.0,0.254,32.1
0.0,0.269,32.1
0.0,0.285,32.1
0.0,0.3,32.1
0.0,0.311,32.1
0.0,0.307,32.1
0.0,0.297,32.1
0.0,0.291,32.1
0.0,0.286,32.1
0.017,0.327,32.1
0.043,0.363,32.1
0.07,0.437,32.1
0.092,0.544,32.1
0.116,0.599,32.1
0.053,0.621,32.1
0.0,0.683,32.1
0.0,0.766,32.1
0.0,0.813,32.1
0.0,0.827,32.1
0.0,0.863,32.1
0.0,0.916,32.1
0.0,0.94,32.1
0.0,0.953,32.1
0.0,0.951,32.1
0.0,0.949,32.1
0.0,0.944,32.1
0.0,0.947,32.1
0.0,0.959,32.1
0.0,0.967,32.1
0.0,0.966,32.1
0.0,0.95,32.1
0.0,0.908,32.1
0.0,0.865,32.1
0.01,0.853,32.1
0.019,0.879,32.1
0.02,0.896,32.1
0.012,0.911,32.1
0.013,0.926,32.1
0.005,0.946,32.1
0.0,0.966,32.1
0.0,0.977,32.1
0.0,0.975,32.1
0.0,0.973,32.1
0.0,0.972,32.1
0.0,0.972,32.1
0.0,0.974,32.1
0.0,0.97,32.1
0.0,0.968,32.1
0.0,0.966,32.1
0.0,0.96,32.1
0.0,0.952,32.1
0.0,0.944,32.1
0.0,0.913,32.1
0.0,0.896,32.1
0.0,0.899,32.1
0.0,0.901,32.1
0.068,0.897,32.1
0.153,0.897,32.1
0.136,0.897,32.1
0.094,0.906,32.1
0.063,0.906,32.1
0.029,0.909,32.1
0.001,0.874,32.1
0.0,0.788,32.1
0.0,0.597,32.1
0.0,0.469,32.1
0.0,0.442,32.1
0.0,0.405,32.1
