solar_cf,wind_cf,price
0.0,0.079,52.3
0.0,0.08,52.3
0.0,0.079,52.3
0.0,0.07,52.3
0.0,0.045,52.3
0.0,0.017,52.3
0.0,0.004,52.3
0.084,0.008,52.3
0.287,0.009,52.3
0.435,0.008,52.3
0.491,0.008,52.3
0.406,0.012,52.3
0.301,0.021,52.3
0.28,0.035,52.3
0.199,0.051,52.3
0.034,0.068,52.3
0.0,0.086,52.3
0.0,0.101,52.3
0.0,0.108,52.3
0.0,0.105,52.3
0.0,0.099,52.3
0.0,0.099,52.3
0.0,0.104,52.3
0.0,0.107,52.3
0.0,0.112,52.3
0.0,0.128,52.3
0.0,0.175,52.3
0.0,0.188,52.3
0.0,0.158,52.3
0.0,0.191,52.3
0.0,0.291,52.3
0.154,0.458,52.3
0.398,0.591,52.3
0.551,0.598,52.3
0.633,0.636,52.3
0.652,0.753,52.3
0.611,0.819,52.3
0.508,0.838,52.3
0.324,0.824,52.3
0.066,0.804,52.3
0.0,0.819,52.3
0.0,0.812,52.3
0.0,0.798,52.3
0.0,0.753,52.3
0.0,0.698,52.3
0.0,0.676,52.3
0.0,0.644,52.3
0.0,0.586,52.3
0.0,0.523,52.3
0.0,0.432,52.3
0.0,0.376,52.3
0.0,0.32,52.3
0.0,0.272,52.3
0.0,0.253,52.3
0.0,0.251,52.3
0.151,0.233,52.3
0.395,0.179,52.3
0.552,0.11,52.3
0.63,0.169,52.3
0.622,0.201,52.3
0.445,0.193,52.3
0.252,0.139,52.3
0.285,0.101,52.3
0.065,0.111,52.3
0.0,0.178,52.3
0.0,0.254,52.3
0.0,0.312,52.3
0.0,0.323,52.3
0.0,0.3,52.3
0.0,0.231,52.3
0.0,0.135,52.3
0.0,0.054,52.3
0.0,0.025,52.3
0.0,0.023,52.3
0.0,0.029,52.3
0.0,0.035,52.3
0.0,0.048,52.3
0.0,0.058,52.3
0.0,0.059,52.3
0.066,0.054,52.3
0.212,0.037,52.3
0.45,0.011,52.3
0.609,0.022,52.3
0.628,0.034,52.3
0.569,0.017,52.3
0.387,0.003,52.3
0.182,0.007,52.3
0.01,0.026,52.3
0.0,0.042,52.3
0.0,0.055,52.3
0.0,0.07,52.3
0.0,0.091,52.3
0.0,0.099,52.3
0.0,0.089,52.3
0.0,0.071,52.3
0.0,0.048,52.3
0.0,0.036,52.3
0.0,0.034,52.3
0.0,0.035,52.3
0.0,0.032,52.3
0.0,0.035,52.3
0.0,0.047,52.3
0.0,0.049,52.3
0.069,0.041,52.3
0.237,0.037,52.3
0.361,0.028,52.3
0.314,0.022,52.3
0.358,0.02,52.3
0.423,0.033,52.3
0.444,0.07,52.3
0.289,0.16,52.3
0.057,0.224,52.3
0.0,0.225,52.3
0.0,0.227,52.3
0.0,0.259,52.3
0.0,0.278,52.3
0.0,0.25,52.3
0.0,0.229,52.3
0.0,0.22,52.3
0.0,0.221,52.3
0.0,0.214,52.3
0.0,0.202,52.3
0.0,0.175,52.3
0.0,0.137,52.3
0.0,0.104,52.3
0.0,0.088,52.3
0.0,0.091,52.3
0.122,0.119,52.3
0.342,0.158,52.3
0.514,0.175,52.3
0.598,0.155,52.3
0.621,0.163,52.3
0.583,0.174,52.3
0.482,0.211,52.3
0.305,0.291,52.3
0.068,0.401,52.3
0.0,0.498,52.3
0.0,0.595,52.3
0.0,0.601,52.3
0.0,0.518,52.3
0.0,0.413,52.3
0.0,0.333,52.3
0.0,0.288,52.3
0.0,0.253,52.3
0.0,0.225,52.3
0.0,0.195,52.3
0.0,0.17,52.3
0.0,0.161,52.3
0.0,0.158,52.3
0.0,0.155,52.3
0.0,0.161,52.3
0.137,0.178,52.3
0.365,0.158,52.3
0.52,0.079,52.3
0.601,0.067,52.3
0.619,0.065,52.3
0.577,0.051,52.3
0.472,0.041,52.3
0.289,0.041,52.3
0.059,0.043,52.3
0.0,0.04,52.3
0.0,0.033,52.3
0.0,0.028,52.3
0.0,0.029,52.3
0.0,0.039,52.3
0.0,0.05,52.3
0.0,0.048,52.3
0.0,0.032,52.3
0.0,0.017,52.3
0.0,0.011,52.3
0.0,0.005,52.3
0.0,0.002,52.3
0.0,0.009,52.3
0.0,0.017,52.3
0.0,0.025,52.3
0.05,0.041,52.3
0.174,0.051,52.3
0.238,0.055,52.3
0.433,0.058,52.3
0.563,0.077,52.3
0.453,0.106,52.3
0.162,0.104,52.3
0.052,0.092,52.3
0.004,0.056,52.3
0.0,0.028,52.3
0.0,0.025,52.3
0.0,0.071,52.3
0.0,0.08,52.3
0.0,0.039,52.3
0.0,0.022,52.3
0.0,0.062,52.3
0.0,0.142,52.3
0.0,0.231,52.3
0.0,0.274,52.3
0.0,0.272,52.3
0.0,0.295,52.3
0.0,0.332,52.3
0.0,0.355,52.3
0.0,0.391,52.3
0.161,0.451,52.3
0.387,0.494,52.3
0.532,0.461,52.3
0.604,0.444,52.3
0.568,0.494,52.3
0.461,0.513,52.3
0.363,0.513,52.3
0.249,0.583,52.3
0.056,0.705,52.3
0.0,0.785,52.3
0.0,0.792,52.3
0.0,0.759,52.3
0.0,0.72,52.3
0.0,0.666,52.3
0.0,0.668,52.3
0.0,0.686,52.3
0.0,0.695,52.3
0.0,0.702,52.3
0.0,0.673,52.3
0.0,0.613,52.3
0.0,0.566,52.3
0.0,0.516,52.3
0.0,0.471,52.3
0.0,0.448,52.3
0.159,0.416,52.3
0.378,0.361,52.3
0.496,0.309,52.3
0.554,0.346,52.3
0.567,0.418,52.3
0.539,0.412,52.3
0.461,0.396,52.3
0.303,0.432,52.3
0.077,0.545,52.3
0.0,0.656,52.3
0.0,0.668,52.3
0.0,0.635,52.3
0.0,0.586,52.3
0.0,0.488,52.3
0.0,0.408,52.3
0.0,0.332,52.3
0.0,0.261,52.3
0.0,0.214,52.3
0.0,0.178,52.3
0.0,0.149,52.3
0.0,0.138,52.3
0.0,0.144,52.3
0.0,0.146,52.3
0.0,0.157,52.3
0.162,0.168,52.3
0.392,0.144,52.3
0.548,0.096,52.3
0.629,0.098,52.3
0.647,0.072,52.3
0.603,0.058,52.3
0.497,0.053,52.3
0.311,0.046,52.3
0.07,0.028,52.3
0.0,0.014,52.3
0.0,0.015,52.3
0.0,0.03,52.3
0.0,0.049,52.3
0.0,0.059,52.3
0.0,0.055,52.3
0.0,0.044,52.3
0.0,0.036,52.3
0.0,0.035,52.3
0.0,0.048,52.3
0.0,0.071,52.3
0.0,0.082,52.3
0.0,0.084,52.3
0.0,0.089,52.3
0.0,0.094,52.3
0.166,0.091,52.3
0.389,0.082,52.3
0.544,0.062,52.3
0.622,0.057,52.3
0.638,0.048,52.3
0.595,0.045,52.3
0.492,0.058,52.3
0.315,0.107,52.3
0.078,0.152,52.3
0.0,0.212,52.3
0.0,0.274,52.3
0.0,0.283,52.3
0.0,0.254,52.3
0.0,0.155,52.3
0.0,0.105,52.3
0.0,0.125,52.3
0.0,0.16,52.3
0.0,0.172,52.3
0.0,0.2,52.3
0.0,0.241,52.3
0.0,0.259,52.3
0.0,0.276,52.3
0.0,0.312,52.3
0.0,0.33,52.3
0.16,0.309,52.3
0.381,0.239,52.3
0.525,0.124,52.3
0.58,0.068,52.3
0.481,0.073,52.3
0.358,0.09,52.3
0.38,0.122,52.3
0.257,0.172,52.3
0.045,0.314,52.3
0.0,0.486,52.3
0.0,0.586,52.3
0.0,0.66,52.3
0.0,0.729,52.3
0.0,0.757,52.3
0.0,0.743,52.3
0.0,0.735,52.3
0.0,0.758,52.3
