solar_cf,wind_cf,price
0.0,0.337,30.5
0.0,0.32,30.5
0.0,0.302,30.5
0.0,0.287,30.5
0.0,0.275,30.5
0.0,0.272,30.5
0.0,0.27,30.5
0.0,0.271,30.5
0.137,0.245,30.5
0.357,0.194,30.5
0.508,0.188,30.5
0.541,0.167,30.5
0.502,0.146,30.5
0.389,0.125,30.5
0.193,0.144,30.5
0.0,0.203,30.5
0.0,0.274,30.5
0.0,0.348,30.5
0.0,0.397,30.5
0.0,0.398,30.5
0.0,0.365,30.5
0.0,0.3,30.5
0.0,0.227,30.5
0.0,0.167,30.5
0.0,0.14,30.5
0.0,0.14,30.5
0.0,0.142,30.5
0.0,0.149,30.5
0.0,0.157,30.5
0.0,0.176,30.5
0.0,0.204,30.5
0.0,0.233,30.5
0.081,0.239,30.5
0.207,0.228,30.5
0.29,0.229,30.5
0.301,0.251,30.5
0.194,0.262,30.5
0.111,0.296,30.5
0.045,0.355,30.5
0.0,0.451,30.5
0.0,0.484,30.5
0.0,0.476,30.5
0.0,0.476,30.5
0.0,0.473,30.5
0.0,0.475,30.5
0.0,0.49,30.5
0.0,0.504,30.5
0.0,0.503,30.5
0.0,0.537,30.5
0.0,0.585,30.5
0.0,0.535,30.5
0.0,0.547,30.5
0.0,0.541,30.5
0.0,0.553,30.5
0.0,0.556,30.5
0.0,0.557,30.5
0.01,0.558,30.5
0.043,0.568,30.5
0.061,0.654,30.5
0.05,0.714,30.5
0.055,0.751,30.5
0.047,0.748,30.5
0.012,0.739,30.5
0.0,0.732,30.5
0.0,0.705,30.5
0.0,0.613,30.5
0.0,0.544,30.5
0.0,0.457,30.5
0.0,0.347,30.5
0.0,0.27,30.5
0.0,0.243,30.5
0.0,0.245,30.5
0.0,0.289,30.5
0.0,0.341,30.5
0.0,0.387,30.5
0.0,0.413,30.5
0.0,0.394,30.5
0.0,0.41,30.5
0.0,0.433,30.5
0.0,0.432,30.5
0.018,0.438,30.5
0.039,0.451,30.5
0.096,0.516,30.5
0.175,0.556,30.5
0.183,0.578,30.5
0.099,0.591,30.5
0.02,0.593,30.5
0.0,0.615,30.5
0.0,0.571,30.5
0.0,0.547,30.5
0.0,0.523,30.5
0.0,0.473,30.5
0.0,0.403,30.5
0.0,0.349,30.5
0.0,0.312,30.5
0.0,0.272,30.5
0.0,0.235,30.5
0.0,0.202,30.5
0.0,0.186,30.5
0.0,0.179,30.5
0.0,0.167,30.5
0.0,0.136,30.5
0.0,0.109,30.5
0.0,0.099,30.5
0.008,0.095,30.5
0.059,0.093,30.5
0.118,0.106,30.5
0.263,0.13,30.5
0.311,0.144,30.5
0.25,0.149,30.5
0.104,0.157,30.5
0.0,0.209,30.5
0.0,0.259,30.5
0.0,0.294,30.5
0.0,0.309,30.5
0.0,0.314,30.5
0.0,0.308,30.5
0.0,0.288,30.5
0.0,0.266,30.5
0.0,0.251,30.5
0.0,0.235,30.5
0.0,0.231,30.5
0.0,0.227,30.5
0.0,0.22,30.5
0.0,0.21,30.5
0.0,0.204,30.5
0.0,0.218,30.5
0.0,0.251,30.5
0.19,0.248,30.5
0.383,0.176,30.5
0.51,0.177,30.5
0.546,0.214,30.5
0.511,0.223,30.5
0.406,0.222,30.5
0.214,0.259,30.5
0.006,0.434,30.5
0.0,0.523,30.5
0.0,0.516,30.5
0.0,0.498,30.5
0.0,0.48,30.5
0.0,0.439,30.5
0.0,0.413,30.5
0.0,0.398,30.5
0.0,0.378,30.5
0.0,0.376,30.5
0.0,0.459,30.5
0.0,0.391,30.5
0.0,0.396,30.5
0.0,0.399,30.5
0.0,0.374,30.5
0.0,0.343,30.5
0.0,0.294,30.5
0.001,0.231,30.5
0.012,0.208,30.5
0.039,0.236,30.5
0.089,0.264,30.5
0.197,0.264,30.5
0.283,0.245,30.5
0.122,0.245,30.5
0.0,0.267,30.5
0.0,0.364,30.5
0.0,0.47,30.5
0.0,0.487,30.5
0.0,0.505,30.5
0.0,0.519,30.5
0.0,0.498,30.5
0.0,0.461,30.5
0.0,0.454,30.5
0.0,0.459,30.5
0.0,0.462,30.5
0.0,0.463,30.5
0.0,0.461,30.5
0.0,0.459,30.5
0.0,0.445,30.5
0.0,0.448,30.5
0.0,0.488,30.5
0.002,0.474,30.5
0.029,0.441,30.5
0.052,0.423,30.5
0.062,0.398,30.5
0.057,0.388,30.5
0.026,0.337,30.5
0.003,0.328,30.5
0.0,0.329,30.5
0.0,0.325,30.5
0.0,0.302,30.5
0.0,0.289,30.5
0.0,0.258,30.5
0.0,0.249,30.5
0.0,0.248,30.5
0.0,0.254,30.5
0.0,0.285,30.5
0.0,0.321,30.5
0.0,0.373,30.5
0.0,0.391,30.5
0.0,0.42,30.5
0.0,0.424,30.5
0.0,0.451,30.5
0.0,0.498,30.5
0.0,0.555,30.5
0.0,0.571,30.5
0.011,0.586,30.5
0.026,0.583,30.5
0.034,0.606,30.5
0.036,0.599,30.5
0.026,0.586,30.5
0.01,0.644,30.5
0.0,0.642,30.5
0.0,0.642,30.5
0.0,0.624,30.5
0.0,0.603,30.5
0.0,0.605,30.5
0.0,0.546,30.5
0.0,0.457,30.5
0.0,0.431,30.5
0.0,0.429,30.5
0.0,0.473,30.5
0.0,0.489,30.5
0.0,0.493,30.5
0.0,0.55,30.5
0.0,0.568,30.5
0.0,0.502,30.5
0.0,0.398,30.5
0.0,0.334,30.5
0.01,0.268,30.5
